1,9,1855,2
6,0,2988,2
0,7,1056,1
5,4,2402,0
6,2,1740,2
6,0,1851,3
3,9,1939,4
1,3,1872,2
1,7,2231,3
6,5,2746,1
0,9,2235,2
8,2,1304,2
6,8,1684,4
1,3,1127,3
8,4,2987,0
5,7,1255,3
8,1,1721,1
0,7,1228,3
3,6,1466,4
1,9,2074,0
8,5,1530,1
2,3,1432,3
1,2,1178,1
1,0,2542,1
0,4,1531,0
3,1,2230,2
0,6,2001,4
1,7,1677,4
0,6,2609,4
2,9,1875,0
8,5,1410,3
8,7,2566,4
3,6,1440,4
4,6,1771,1
4,8,2772,3
6,0,2565,1
5,0,1596,1
9,0,1435,3
9,7,1961,3
1,8,1174,0
6,7,2427,1
6,0,1056,3
9,4,1879,1
7,0,2565,2
7,9,1569,1
7,1,1509,3
7,3,2178,4
6,0,2240,1
4,6,2674,3
1,0,1704,3
5,8,1950,3
4,5,1682,4
6,4,2515,2
0,2,1284,4
7,6,1328,0
5,4,1000,3
5,9,2984,1
7,1,1671,2
