8,7,1904,2
2,1,1593,1
5,0,2792,3
8,5,2128,0
3,9,1052,0
4,6,1048,3
0,4,1709,1
7,6,1911,2
6,9,2101,2
7,6,2445,0
9,1,2345,3
8,5,2226,3
2,0,1111,1
3,2,2202,1
8,7,2839,1
7,8,2882,3
5,8,1644,1
5,5,1953,0
2,4,2626,1
9,2,2314,2
1,2,2479,3
5,4,1190,4
6,8,1427,2
1,7,1916,1
8,5,1817,4
8,3,2747,0
3,2,1270,0
4,6,1068,3
3,3,1639,2
8,1,1762,3
2,9,2228,4
2,4,2891,0
1,8,1121,4
6,8,2973,4
5,1,1033,0
3,0,2876,0
7,0,1299,2
8,4,2928,0
1,2,1999,2
2,2,1169,3
0,8,1703,1
2,9,2605,4
6,9,1936,3
6,3,1421,2
7,5,2520,3
4,0,1670,1
9,9,1751,1
4,8,1411,4
2,1,1760,4
7,8,1005,4
0,2,2319,0
4,8,2165,1
1,7,1033,2
2,8,2646,2
2,2,2353,3
5,1,2245,2
6,1,1391,4
8,6,1714,0
