5,1,1777,4
9,7,1110,3
1,4,1878,0
0,9,1419,2
7,2,1999,1
3,2,2331,1
5,3,1741,2
6,6,2120,0
3,4,2805,1
5,6,2088,0
0,2,2317,4
5,6,1345,0
2,3,2318,1
9,6,1342,3
8,2,2800,1
9,8,2247,4
9,0,1232,2
5,9,2588,0
2,9,2428,0
8,1,1835,4
7,5,1301,3
1,6,1973,4
2,3,1355,4
4,5,2701,2
7,0,2420,4
2,0,2568,4
0,0,2646,0
8,2,1837,2
2,2,1288,1
5,8,2421,1
5,5,1444,3
9,4,1116,2
7,3,1095,1
4,5,1198,4
0,7,1695,4
2,9,2826,3
1,1,1515,3
6,2,2722,4
7,1,2255,4
0,6,1976,0
1,8,2653,2
7,6,1874,0
4,1,2843,2
1,9,2583,0
0,3,1171,2
5,0,1472,1
2,8,1038,4
0,1,1703,2
5,2,1192,1
4,7,2330,3
6,6,2095,0
3,0,1656,4
9,9,1267,3
7,3,1138,0
9,3,1223,4
6,2,1339,0
3,5,1150,4
5,1,1656,1
