0,1,2443,0
0,9,1348,2
4,4,2454,1
7,6,2247,2
7,3,2528,2
9,2,2393,2
6,1,2800,0
7,8,2294,2
7,6,2422,3
2,9,2723,1
8,3,2349,2
0,7,1967,0
8,9,1880,0
6,1,1475,4
0,1,1446,1
5,9,1300,4
8,6,1903,0
1,4,1806,2
4,7,2422,1
1,0,1576,4
3,1,2887,4
1,5,1188,0
7,0,1080,2
7,6,1181,3
1,5,2089,0
8,3,1064,2
2,3,1205,2
1,7,1973,2
7,5,2785,1
9,1,2494,0
0,0,1898,1
0,7,1956,2
2,3,2872,0
1,1,1719,2
6,7,1199,2
2,1,1948,0
8,1,1930,3
3,7,2838,2
8,4,1744,4
7,7,1759,2
2,9,1617,4
7,8,1341,1
7,0,1288,0
7,7,1504,1
0,7,2824,1
3,5,2800,2
7,8,1519,3
0,8,2560,2
7,4,1112,3
3,7,2864,3
3,0,1490,0
5,8,1156,4
1,3,2268,2
6,6,2367,3
9,1,2667,2
0,6,2909,1
2,8,1919,2
5,0,1026,3
