3,0,2939,3
1,5,2088,0
9,6,1892,0
1,3,2733,3
9,5,2200,4
2,9,1249,1
8,3,2783,0
3,5,2227,0
9,2,2749,0
3,0,2139,0
0,9,1503,3
0,4,1772,3
1,0,2749,4
4,9,2850,3
4,1,1672,1
1,7,1027,0
6,6,1146,1
8,8,1504,1
6,0,1770,2
3,7,1474,0
3,7,2311,1
6,1,1887,2
4,5,1242,3
5,3,1700,0
7,8,1734,1
9,7,2842,2
2,6,1113,4
9,8,1074,2
9,5,2794,2
2,5,1163,3
1,3,1771,4
3,0,2841,0
1,4,2149,3
0,7,2973,4
4,0,2912,3
9,9,1457,2
1,2,2858,2
7,5,1594,2
6,4,1517,1
9,1,2326,4
7,6,1675,0
0,6,1213,0
5,3,1395,2
5,1,1874,2
9,6,2043,0
6,9,1457,3
9,8,1989,0
6,0,1232,1
1,7,1388,3
6,0,1407,0
2,3,1446,3
7,3,1882,2
3,2,2209,1
0,9,1427,3
3,2,1815,0
0,8,2122,2
2,1,2652,1
1,7,2071,0
