6,6,1411,4
6,9,1202,0
0,0,1364,0
4,0,2373,3
1,5,1604,2
0,8,1097,4
2,9,1750,1
9,6,2634,1
6,6,1580,0
8,4,2922,1
8,2,2461,3
3,7,1048,3
5,3,2558,2
1,5,1278,1
3,2,1020,4
2,5,2669,3
7,6,1134,3
7,8,1921,4
9,2,2933,2
6,5,1472,1
1,2,2620,2
1,1,2316,1
5,6,2666,3
2,8,2014,4
4,2,1324,1
5,4,1531,2
8,9,1822,4
1,3,2288,0
8,0,2753,1
6,8,1207,2
2,1,2435,4
3,9,2370,1
2,6,1884,4
4,0,2524,1
4,0,2108,2
8,9,2877,3
0,4,2688,0
3,3,1780,2
1,8,1436,1
2,0,1084,0
5,7,2976,3
9,4,1545,2
7,8,1317,3
2,9,1370,4
5,4,2159,3
7,9,1990,2
3,1,2554,2
7,1,2801,3
5,5,1822,1
9,1,1958,1
4,6,1612,0
1,9,2747,4
6,7,1248,4
5,2,2914,1
0,2,1263,0
4,8,1380,3
9,2,2408,3
9,5,2022,1
